region_id,estimation_id,instruction_name,count_per_iteration,count_total,impact
462,0,Send,0,,
100,0,Send,2453.65863,,
100,0,Sub,817.88621,,
100,0,FMA,0,,
100,0,Add,0,,
100,0,Mul,0,,
100,0,ABS,0,,
100,0,DIV,0,,
100,0,MIN,0,,
100,0,MAX,0,,
100,0,SQRT,0,,
100,0,SAD,0,,
100,0,SCALE,0,,
100,0,SIGN,0,,
100,0,RECCP,0,,
100,0,Mov,0,,
350,0,FMA,0,,
350,0,Add,0,,
350,0,Mul,0,,
350,0,Sub,0,,
350,0,ABS,0,,
350,0,DIV,0,,
350,0,MIN,0,,
350,0,MAX,0,,
350,0,SQRT,0,,
350,0,SAD,0,,
350,0,SCALE,0,,
350,0,SIGN,0,,
350,0,RECCP,0,,
350,0,Mov,0,,
350,0,Send,0,,
21,0,LOG,408.94311,,
21,0,FMA,0,,
21,0,Add,0,,
21,0,Mul,0,,
21,0,Sub,0,,
21,0,ABS,0,,
21,0,DIV,0,,
21,0,MIN,0,,
21,0,MAX,0,,
21,0,SQRT,0,,
21,0,SAD,0,,
21,0,SCALE,0,,
21,0,SIGN,0,,
21,0,RECCP,0,,
21,0,Mov,0,,
21,0,Send,0,,
13,0,Add,3122.60009,,
13,0,FCOM,1859.30834,,
13,0,Send,43521.24293,,
13,0,Mul,2082.84424,,
13,0,Sub,3646.6463700000004,,
13,0,FDIV,520.71106,,
13,0,FMA,0,,
13,0,ABS,0,,
13,0,DIV,0,,
13,0,MIN,0,,
13,0,MAX,0,,
13,0,SQRT,0,,
13,0,SAD,0,,
13,0,SCALE,0,,
13,0,SIGN,0,,
13,0,RECCP,0,,
13,0,Mov,0,,
14,0,Send,38016.95717,,
14,0,Sub,2605.22425,,
14,0,FDIV,520.71106,,
14,0,FCOM,520.71106,,
14,0,Add,1560.46691,,
14,0,Mul,1041.42212,,
14,0,FMA,0,,
14,0,ABS,0,,
14,0,DIV,0,,
14,0,MIN,0,,
14,0,MAX,0,,
14,0,SQRT,0,,
14,0,SAD,0,,
14,0,SCALE,0,,
14,0,SIGN,0,,
14,0,RECCP,0,,
14,0,Mov,0,,
78,0,FDIV,520.71106,,
78,0,Send,36454.82399,,
78,0,FCOM,520.71106,,
78,0,Sub,2084.51319,,
78,0,Add,1560.46691,,
78,0,Mul,1041.42212,,
78,0,FMA,0,,
78,0,ABS,0,,
78,0,DIV,0,,
78,0,MIN,0,,
78,0,MAX,0,,
78,0,SQRT,0,,
78,0,SAD,0,,
78,0,SCALE,0,,
78,0,SIGN,0,,
78,0,RECCP,0,,
78,0,Mov,0,,
180,0,FMA,0,,
180,0,Add,0,,
180,0,Mul,0,,
180,0,Sub,0,,
180,0,ABS,0,,
180,0,DIV,0,,
180,0,MIN,0,,
180,0,MAX,0,,
180,0,SQRT,0,,
180,0,SAD,0,,
180,0,SCALE,0,,
180,0,SIGN,0,,
180,0,RECCP,0,,
180,0,Mov,0,,
180,0,Send,0,,
15,0,Add,1560.46691,,
15,0,Send,28644.15803,,
15,0,Mul,1041.42212,,
15,0,Sub,1563.80213,,
15,0,FMA,0,,
15,0,ABS,0,,
15,0,DIV,0,,
15,0,MIN,0,,
15,0,MAX,0,,
15,0,SQRT,0,,
15,0,SAD,0,,
15,0,SCALE,0,,
15,0,SIGN,0,,
15,0,RECCP,0,,
15,0,Mov,0,,
555,0,FMA,0,,
555,0,Add,0,,
555,0,Mul,0,,
555,0,Sub,0,,
555,0,ABS,0,,
555,0,DIV,0,,
555,0,MIN,0,,
555,0,MAX,0,,
555,0,SQRT,0,,
555,0,SAD,0,,
555,0,SCALE,0,,
555,0,SIGN,0,,
555,0,RECCP,0,,
555,0,Mov,0,,
555,0,Send,0,,
295,0,FMA,0,,
295,0,Add,0,,
295,0,Mul,0,,
295,0,Sub,0,,
295,0,ABS,0,,
295,0,DIV,0,,
295,0,MIN,0,,
295,0,MAX,0,,
295,0,SQRT,0,,
295,0,SAD,0,,
295,0,SCALE,0,,
295,0,SIGN,0,,
295,0,RECCP,0,,
295,0,Mov,0,,
295,0,Send,0,,
562,0,Send,24478.46955,,
562,0,Sub,522.38001,,
562,0,Add,1039.75585,,
562,0,FMA,0,,
562,0,Mul,0,,
562,0,ABS,0,,
562,0,DIV,0,,
562,0,MIN,0,,
562,0,MAX,0,,
562,0,SQRT,0,,
562,0,SAD,0,,
562,0,SCALE,0,,
562,0,SIGN,0,,
562,0,RECCP,0,,
562,0,Mov,0,,
511,0,FMA,0,,
511,0,Add,0,,
511,0,Mul,0,,
511,0,Sub,0,,
511,0,ABS,0,,
511,0,DIV,0,,
511,0,MIN,0,,
511,0,MAX,0,,
511,0,SQRT,0,,
511,0,SAD,0,,
511,0,SCALE,0,,
511,0,SIGN,0,,
511,0,RECCP,0,,
511,0,Mov,0,,
511,0,Send,0,,
585,0,Send,16666.1347,,
585,0,Sub,1.66895,,
585,0,Add,1039.75585,,
585,0,FMA,0,,
585,0,Mul,0,,
585,0,ABS,0,,
585,0,DIV,0,,
585,0,MIN,0,,
585,0,MAX,0,,
585,0,SQRT,0,,
585,0,SAD,0,,
585,0,SCALE,0,,
585,0,SIGN,0,,
585,0,RECCP,0,,
585,0,Mov,0,,
513,0,Add,378.85165,,
513,0,Send,6061.6264,,
513,0,FMA,0,,
513,0,Mul,0,,
513,0,Sub,0,,
513,0,ABS,0,,
513,0,DIV,0,,
513,0,MIN,0,,
513,0,MAX,0,,
513,0,SQRT,0,,
513,0,SAD,0,,
513,0,SCALE,0,,
513,0,SIGN,0,,
513,0,RECCP,0,,
513,0,Mov,0,,
411,0,Add,660.9042,,
411,0,Send,10574.4672,,
411,0,FMA,0,,
411,0,Mul,0,,
411,0,Sub,0,,
411,0,ABS,0,,
411,0,DIV,0,,
411,0,MIN,0,,
411,0,MAX,0,,
411,0,SQRT,0,,
411,0,SAD,0,,
411,0,SCALE,0,,
411,0,SIGN,0,,
411,0,RECCP,0,,
411,0,Mov,0,,
