estimation_id,region_id,simd_width,global_size,local_size,thread_count,time,speed_up,bounded_by
430,513,32,"(227,)","(128,)",8,0.9297341845454546,0.2151152461902642,"Launch_Tax, Latencies, L3_BW"
431,513,32,"(227,)","(256,)",8,0.9297341845454546,0.2151152461902642,"Launch_Tax, Latencies, L3_BW"
432,513,8,"(227,)","(8,)",29,0.915623970909091,0.2184302774439457,"Launch_Tax, Latencies, L3_BW"
433,513,8,"(227,)","(16,)",29,0.915623970909091,0.2184302774439457,"Launch_Tax, Latencies, L3_BW"
434,513,8,"(227,)","(32,)",29,0.915623970909091,0.2184302774439457,"Launch_Tax, Latencies, L3_BW"
435,513,8,"(227,)","(64,)",29,0.915623970909091,0.2184302774439457,"Launch_Tax, Latencies, L3_BW"
436,513,8,"(227,)","(128,)",29,0.915623970909091,0.2184302774439457,"Launch_Tax, Latencies, L3_BW"
437,513,8,"(227,)","(256,)",29,0.915623970909091,0.2184302774439457,"Launch_Tax, Latencies, L3_BW"
438,513,16,"(227,)","(8,)",29,0.915623970909091,0.2184302774439457,"Launch_Tax, Latencies, L3_BW"
439,513,16,"(227,)","(16,)",15,0.9297341845454546,0.2151152461902642,"Launch_Tax, Latencies, L3_BW"
440,513,16,"(227,)","(32,)",15,0.9297341845454546,0.2151152461902642,"Launch_Tax, Latencies, L3_BW"
441,513,16,"(227,)","(64,)",15,0.9297341845454546,0.2151152461902642,"Launch_Tax, Latencies, L3_BW"
442,513,16,"(227,)","(128,)",15,0.9297341845454546,0.2151152461902642,"Launch_Tax, Latencies, L3_BW"
443,513,16,"(227,)","(256,)",15,0.9297341845454546,0.2151152461902642,"Launch_Tax, Latencies, L3_BW"
444,513,32,"(227,)","(8,)",29,0.915623970909091,0.2184302774439457,"Launch_Tax, Latencies, L3_BW"
445,513,32,"(227,)","(16,)",15,0.9297341845454546,0.2151152461902642,"Launch_Tax, Latencies, L3_BW"
446,513,32,"(227,)","(32,)",8,0.9297341845454546,0.2151152461902642,"Launch_Tax, Latencies, L3_BW"
447,513,32,"(227,)","(64,)",8,0.9297341845454546,0.2151152461902642,"Launch_Tax, Latencies, L3_BW"
448,513,32,"(227,)","(128,)",8,0.9297341845454546,0.2151152461902642,"Launch_Tax, Latencies, L3_BW"
449,513,32,"(227,)","(256,)",8,0.9297341845454546,0.2151152461902642,"Launch_Tax, Latencies, L3_BW"
450,572,8,"(100001,)","(8,)",12501,7.725000000000001e-06,1294.4788220064722,"Launch_Tax, L3_BW"
451,572,8,"(100001,)","(16,)",12501,7.725000000000001e-06,1294.4788220064722,"Launch_Tax, L3_BW"
452,572,8,"(100001,)","(32,)",12501,7.725000000000001e-06,1294.4788220064722,"Launch_Tax, L3_BW"
453,572,8,"(100001,)","(64,)",12501,7.725000000000001e-06,1294.4788220064722,"Launch_Tax, L3_BW"
454,572,8,"(100001,)","(128,)",12501,7.725000000000001e-06,1294.4788220064722,"Launch_Tax, L3_BW"
455,572,8,"(100001,)","(256,)",12501,7.725000000000001e-06,1294.4788220064722,"Launch_Tax, L3_BW"
456,572,16,"(100001,)","(8,)",12501,7.725000000000001e-06,1294.4788220064722,"Launch_Tax, L3_BW"
457,572,16,"(100001,)","(16,)",6251,7.725000000000001e-06,1294.4788220064722,"Launch_Tax, L3_BW"
458,572,16,"(100001,)","(32,)",6251,7.725000000000001e-06,1294.4788220064722,"Launch_Tax, L3_BW"
459,572,16,"(100001,)","(64,)",6251,7.725000000000001e-06,1294.4788220064722,"Launch_Tax, L3_BW"
460,572,16,"(100001,)","(128,)",6251,7.725000000000001e-06,1294.4788220064722,"Launch_Tax, L3_BW"
461,572,16,"(100001,)","(256,)",6251,7.725000000000001e-06,1294.4788220064722,"Launch_Tax, L3_BW"
462,572,32,"(100001,)","(8,)",12501,7.725000000000001e-06,1294.4788220064722,"Launch_Tax, L3_BW"
463,572,32,"(100001,)","(16,)",6251,7.725000000000001e-06,1294.4788220064722,"Launch_Tax, L3_BW"
464,572,32,"(100001,)","(32,)",3126,7.133181818181819e-06,1401.8777531383419,"Launch_Tax, L3_BW"
465,572,32,"(100001,)","(64,)",3126,7.133181818181819e-06,1401.8777531383419,"Launch_Tax, L3_BW"
466,572,32,"(100001,)","(128,)",3126,7.133181818181819e-06,1401.8777531383419,"Launch_Tax, L3_BW"
467,572,32,"(100001,)","(256,)",3126,7.133181818181819e-06,1401.8777531383419,"Launch_Tax, L3_BW"
468,572,8,"(100001,)","(8,)",12501,7.725000000000001e-06,1294.4788220064722,"Launch_Tax, L3_BW"
469,572,8,"(100001,)","(16,)",12501,7.725000000000001e-06,1294.4788220064722,"Launch_Tax, L3_BW"
470,572,8,"(100001,)","(32,)",12501,7.725000000000001e-06,1294.4788220064722,"Launch_Tax, L3_BW"
471,572,8,"(100001,)","(64,)",12501,7.725000000000001e-06,1294.4788220064722,"Launch_Tax, L3_BW"
472,572,8,"(100001,)","(128,)",12501,7.725000000000001e-06,1294.4788220064722,"Launch_Tax, L3_BW"
473,572,8,"(100001,)","(256,)",12501,7.725000000000001e-06,1294.4788220064722,"Launch_Tax, L3_BW"
474,572,16,"(100001,)","(8,)",12501,7.725000000000001e-06,1294.4788220064722,"Launch_Tax, L3_BW"
475,572,16,"(100001,)","(16,)",6251,7.725000000000001e-06,1294.4788220064722,"Launch_Tax, L3_BW"
476,572,16,"(100001,)","(32,)",6251,7.725000000000001e-06,1294.4788220064722,"Launch_Tax, L3_BW"
477,572,16,"(100001,)","(64,)",6251,7.725000000000001e-06,1294.4788220064722,"Launch_Tax, L3_BW"
478,572,16,"(100001,)","(128,)",6251,7.725000000000001e-06,1294.4788220064722,"Launch_Tax, L3_BW"
479,572,16,"(100001,)","(256,)",6251,7.725000000000001e-06,1294.4788220064722,"Launch_Tax, L3_BW"
480,572,32,"(100001,)","(8,)",12501,7.725000000000001e-06,1294.4788220064722,"Launch_Tax, L3_BW"
481,572,32,"(100001,)","(16,)",6251,7.725000000000001e-06,1294.4788220064722,"Launch_Tax, L3_BW"
482,572,32,"(100001,)","(32,)",3126,7.133181818181819e-06,1401.8777531383419,"Launch_Tax, L3_BW"
483,572,32,"(100001,)","(64,)",3126,7.133181818181819e-06,1401.8777531383419,"Launch_Tax, L3_BW"
484,572,32,"(100001,)","(128,)",3126,7.133181818181819e-06,1401.8777531383419,"Launch_Tax, L3_BW"
485,572,32,"(100001,)","(256,)",3126,7.133181818181819e-06,1401.8777531383419,"Launch_Tax, L3_BW"
