estimation_id,region_id,simd_width,global_size,local_size,thread_count,time,speed_up,bounded_by
163,576,8,"(100000, 818)","(8, 16)",10225000,4.685309123531088,2.8962870524267466,Compute
164,576,8,"(100000, 818)","(8, 32)",10225000,4.685309123531088,2.8962870524267466,Compute
165,576,8,"(100000, 818)","(16, 1)",10225000,4.685309123531088,2.8962870524267466,Compute
166,576,8,"(100000, 818)","(16, 2)",10225000,4.685309123531088,2.8962870524267466,Compute
167,576,8,"(100000, 818)","(16, 4)",10225000,4.685309123531088,2.8962870524267466,Compute
168,576,8,"(100000, 818)","(16, 8)",10225000,4.685309123531088,2.8962870524267466,Compute
169,576,8,"(100000, 818)","(16, 16)",10225000,4.685309123531088,2.8962870524267466,Compute
170,576,8,"(100000, 818)","(32, 1)",10225000,4.685309123531088,2.8962870524267466,Compute
171,576,8,"(100000, 818)","(32, 2)",10225000,4.685309123531088,2.8962870524267466,Compute
172,576,8,"(100000, 818)","(32, 4)",10225000,4.685309123531088,2.8962870524267466,Compute
173,576,8,"(100000, 818)","(32, 8)",10225000,4.685309123531088,2.8962870524267466,Compute
174,576,8,"(100000, 818)","(64, 1)",10225000,4.685309123531088,2.8962870524267466,Compute
175,576,8,"(100000, 818)","(64, 2)",10225000,4.685309123531088,2.8962870524267466,Compute
176,576,8,"(100000, 818)","(64, 4)",10225000,4.685309123531088,2.8962870524267466,Compute
177,576,8,"(100000, 818)","(128, 1)",10225000,4.685309123531088,2.8962870524267466,Compute
178,576,8,"(100000, 818)","(128, 2)",10225000,4.685309123531088,2.8962870524267466,Compute
179,576,8,"(100000, 818)","(256, 1)",10225000,4.685309123531088,2.8962870524267466,Compute
180,576,16,"(100000,)","(8,)",12500,4.725899320912508,2.8714111811590204,Compute
181,576,16,"(100000, 818)","(1, 8)",10300000,4.735776961496627,2.8654221390551995,Compute
182,576,16,"(100000,)","(16,)",6250,4.680494908138072,2.899266085623886,Compute
183,576,16,"(100000, 818)","(1, 16)",5200000,4.68591313587128,2.895913722177192,Compute
184,576,16,"(100000,)","(32,)",6250,4.680494908138072,2.899266085623886,Compute
185,576,16,"(100000, 818)","(1, 32)",5200000,4.68591313587128,2.895913722177192,Compute
186,576,16,"(100000,)","(64,)",6250,4.680494908138072,2.899266085623886,Compute
187,576,16,"(100000, 818)","(1, 64)",5200000,4.68591313587128,2.895913722177192,Compute
