region_id,estimation_id,level_name,traffic,read_traffic,write_traffic,bandwidth,read_bandwidth,write_bandwidth,bandwidth_utilization,read_bandwidth_utilization,write_bandwidth_utilization,traffic_defined_time,traffic_defined_read_time,traffic_defined_write_time,bytes_ck,read_bytes_ck,write_bytes_ck
13,0,dram,4095.9999999999995,4095.9999999999995,0.0,85629.20160191295,85629.20160191295,0.0,1.7839417000398534e-06,1.7839417000398534e-06,0.0,8.533333333333333e-08,8.533333333333333e-08,0.0,7.784472872901177e-05,7.784472872901177e-05,0.0
14,0,l3,2714563520.0,1836934016.0,877629504.0,56749488992.987915,38402146773.79776,18347342219.190155,0.20152517398078096,0.13637125985013407,0.06515391413064686,0.009639785227272728,0.006523203181818182,0.0031165820454545456,51.59044453907992,34.91104252163432,16.679402017445597
14,0,gti,4096.000000000006,4096.000000000006,0.0,85629.2016019131,85629.2016019131,0.0,6.081619431954055e-07,1.216323886390811e-06,0.0,5.8181818181818275e-08,5.8181818181818275e-08,0.0,7.78447287290119e-05,7.78447287290119e-05,0.0
14,0,llc,4096.000000000006,4096.000000000006,0.0,85629.2016019131,85629.2016019131,0.0,6.081619431954055e-07,1.216323886390811e-06,0.0,5.8181818181818275e-08,5.8181818181818275e-08,0.0,7.78447287290119e-05,7.78447287290119e-05,0.0
14,0,dram,4095.9999999999995,4095.9999999999995,0.0,85629.20160191295,85629.20160191295,0.0,1.7839417000398534e-06,1.7839417000398534e-06,0.0,8.533333333333333e-08,8.533333333333333e-08,0.0,7.784472872901177e-05,7.784472872901177e-05,0.0
78,0,l3,2714563520.0,1836934016.0,877629504.0,56749488992.987915,38402146773.79776,18347342219.190155,0.20152517398078096,0.13637125985013407,0.06515391413064686,0.009639785227272728,0.006523203181818182,0.0031165820454545456,51.59044453907992,34.91104252163432,16.679402017445597
78,0,gti,4096.000000000006,4096.000000000006,0.0,85629.2016019131,85629.2016019131,0.0,6.081619431954055e-07,1.216323886390811e-06,0.0,5.8181818181818275e-08,5.8181818181818275e-08,0.0,7.78447287290119e-05,7.78447287290119e-05,0.0
78,0,llc,4096.000000000006,4096.000000000006,0.0,85629.2016019131,85629.2016019131,0.0,6.081619431954055e-07,1.216323886390811e-06,0.0,5.8181818181818275e-08,5.8181818181818275e-08,0.0,7.78447287290119e-05,7.78447287290119e-05,0.0
78,0,dram,4095.9999999999995,4095.9999999999995,0.0,85629.20160191295,85629.20160191295,0.0,1.7839417000398534e-06,1.7839417000398534e-06,0.0,8.533333333333333e-08,8.533333333333333e-08,0.0,7.784472872901177e-05,7.784472872901177e-05,0.0
180,0,l3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,0,gti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,0,llc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,0,dram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0,l3,2671847744.0,1815576064.0,856271680.0,55856491484.519615,37955646681.60733,17900844802.91228,0.19835401805582248,0.13478567713638967,0.06356834091943282,0.009488095681818182,0.006447358181818181,0.0030407375,50.778628622290555,34.505133346915756,16.2734952753748
15,0,gti,4096.000000000006,4096.000000000006,0.0,85629.2016019131,85629.2016019131,0.0,6.081619431954055e-07,1.216323886390811e-06,0.0,5.8181818181818275e-08,5.8181818181818275e-08,0.0,7.78447287290119e-05,7.78447287290119e-05,0.0
15,0,llc,4096.000000000006,4096.000000000006,0.0,85629.2016019131,85629.2016019131,0.0,6.081619431954055e-07,1.216323886390811e-06,0.0,5.8181818181818275e-08,5.8181818181818275e-08,0.0,7.78447287290119e-05,7.78447287290119e-05,0.0
15,0,dram,4095.9999999999995,4095.9999999999995,0.0,85629.20160191295,85629.20160191295,0.0,1.7839417000398534e-06,1.7839417000398534e-06,0.0,8.533333333333333e-08,8.533333333333333e-08,0.0,7.784472872901177e-05,7.784472872901177e-05,0.0
555,0,l3,21347712.0,10673856.0,10673856.0,446286019.1864201,223143009.59321004,223143009.59321004,0.0015848225113154122,0.0007924112556577061,0.0007924112556577061,7.580863636363636e-05,3.790431818181818e-05,3.790431818181818e-05,0.40571456289674546,0.20285728144837273,0.20285728144837273
555,0,gti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
555,0,llc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
555,0,dram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,0,l3,21347712.0,10673856.0,10673856.0,446286019.1864201,223143009.59321004,223143009.59321004,0.0015848225113154122,0.0007924112556577061,0.0007924112556577061,7.580863636363636e-05,3.790431818181818e-05,3.790431818181818e-05,0.40571456289674546,0.20285728144837273,0.20285728144837273
